ProductID,Name,Category,StockLevel,Price,Barcode
1000000,cookie tin,Automotive Accessories,9798,88.15,X1000000
1000001,plush bear,Organic Foods,2775,73.84,X1000001
1000002,light bulb,Outdoor Adventure Gear,9750,9.26,X1000002
1000003,nail clippers,Home Decor,1484,97.36,X1000003
1000004,book,Pet Supplies,9593,58.7,X1000004
1000005,bottle of glue,Fitness Equipment,5802,37.65,X1000005
1000006,scotch tape,Vintage Clothing,8675,10.34,X1000006
1000007,shopping bag,Art Supplies,5617,25.25,X1000007
1000008,pencil,Electronics Gadgets,8043,35.61,X1000008
1000009,shawl,Sustainable Fashion,5173,6.57,X1000009
1000010,bed,Craft Beers,8854,75.65,X1000010
1000011,jar of peanut butter,Virtual Reality Games,6718,39.14,X1000011
1000012,flowers,Gardening Tools,2377,48.1,X1000012
1000013,candlestick,Board Games,4196,6.33,X1000013
1000014,roll of duct tape,Eco-Friendly Cleaning Products,2767,23.07,X1000014
1000015,thermometer,Musical Instruments,9712,97,X1000015
1000016,pair of earrings,Kitchen Appliances,2139,64.51,X1000016
1000017,pocketwatch,Camping Gear,8502,76.15,X1000017
1000018,toothbrush,Antique Furniture,1292,87.96,X1000018
1000019,box of markers,Children's Toys,9967,24.94,X1000019
1000020,toy robot,Sports Memorabilia,9635,45.74,X1000020
1000021,socks,Handmade Jewelry,8696,98.76,X1000021
1000022,speakers,Home Theater Systems,8003,38.95,X1000022
1000023,roll of toilet paper,Comic Books,6948,45.63,X1000023
1000024,pair of scissors,Specialty Coffee Beans,8594,35.98,X1000024
1000025,roll of stickers,Yoga and Meditation Accessories,2529,27.13,X1000025
1000026,mobile phone,Collectible Coins,8128,10.48,X1000026
1000027,chicken,Science Fiction Books,8390,36.08,X1000027
1000028,blowdryer,Natural Skincare Products,3536,67.97,X1000028
1000029,pair of socks,Vintage Vinyl Records,3296,20.07,X1000029
1000030,bag of popcorn,DIY Home Improvement,5439,40.28,X1000030
1000031,shoe lace,Travel Accessories,1900,62.24,X1000031
1000032,martini glass,Rare Stamps,1437,52.96,X1000032
1000033,clock,Sustainable Architecture,8219,34.96,X1000033
1000034,remote,Retro Video Games,5222,65.21,X1000034
1000035,roll of gauze,Organic Baby Products,8072,60.7,X1000035
1000036,tea cup,Wildlife Photography,3628,50.07,X1000036
1000037,rat,Educational Apps,5046,82.53,X1000037
1000038,spool of wire,Local Artisanal Foods,4258,46.03,X1000038
1000039,rubber duck,DIY Craft Kits,4814,9.54,X1000039
1000040,knife,Classic Cars,5289,86.16,X1000040
1000041,window,Sustainable Energy Solutions,6624,52.71,X1000041
1000042,candle,Photography Equipment,6146,2.5,X1000042
1000043,clothes pin,Classic Film Noir Movies,6674,13.54,X1000043
1000044,wristwatch,Urban Farming Supplies,2110,26.64,X1000044
1000045,table,Virtual Cooking Classes,9823,99.23,X1000045
1000046,flyswatter,Antique Watches,3018,61.88,X1000046
1000047,bottle of paint,Handcrafted Pottery,3837,92.18,X1000047
1000048,watch,Virtual Language Learning,5473,3.24,X1000048